University Name,Course Type,Course Name,Teaching language,language Req.,Tution Fee (Per semester),Beginning Semester,Application DeadLine,Duration,About the university,Go to course website
"<a href=""https://howtoabroad.com/bauhaus-university-weimar/"" title=""Bauhaus University Weimar"">Bauhaus-Universität Weimar</a>",Master's degree,MSc Photovoltaics Engineering Science,English,,none,"WS, SS",,3 semesters,,
Berlin International University of Applied Sciences,Master's degree,International Product and Service Management (IPM),English,,none,"WS, SS",,3 semesters,,
Brandenburg University of Technology Cottbus-Senftenberg,Master's degree,Interactive Media Systems,English,,none,"WS, SS",,3 semesters,,
Bucerius Law School,Master's degree,Master of International Business and Finance,English,,none,WS,,3 semesters,,
Detmold University of Music,Master's degree,Computer Science for Digital Media,English,,none,"WS, SS",,4 semesters,,
Esslingen University of Applied Sciences,Master's degree,Digital Engineering,English,,none,"WS, SS",,4 semesters,,
European University Viadrina,Master's degree,European Urban Studies (EUS),English,,none,WS,,4 semesters,,
FH Aachen University of Applied Sciences,Master's degree,Human-Computer Interaction (HCI),English,,none,"WS, SS",,4 semesters,,
Freie Universität Berlin,Master's degree,Natural Hazards and Risks in Structural Engineering (NHRE),English,,none,WS,,4 semesters,,
Friedrich Schiller University Jena,Master's degree,Public Art and New Artistic Strategies (MFA),English,,none,WS,,4 semesters,,
Helmholtz-Zentrum Dresden-Rossendorf,Master's degree,"Behaviour: From Neural Mechanisms to Evolution, MSc",English,,none,WS,,4 semesters,,
Hochschule Fresenius - University of Applied Sciences,Master's degree,"British and American Studies, Master of Arts",English,,none,"WS, SS",,4 semesters,,
Hochschule für Wirtschaft und Recht Berlin,Master's degree,German as a Foreign Language and German Linguistics and Literature,German,,none,"WS, SS",,4 semesters,,
Hochschule München University of Applied Sciences,Master's degree,Intelligent Systems,English,,none,WS,,4 semesters,,
HWTK - University of Applied Sciences,Master's degree,Master in Sociology,English,,none,"WS, SS",,4 semesters,,
Institute of Molecular Biology (IMB),Master's degree,"World Studies: Orders, Politics, Cultures",English,,none,WS,,4 semesters,,
International School of Management (ISM),Master's degree,Biotechnology,English,,none,"WS, SS",,3 semesters,,
Internationale Hochschule SDI München/International University SDI München,Master's degree,Cyber Security,English,,none,WS,,4 semesters,,
Jade University of Applied Sciences Wilhelmshaven/Oldenburg/Elsfleth,Master's degree,Environmental and Resource Management (MSc),English,,none,WS,,4 semesters,,
Johannes Gutenberg University Mainz,Master's degree,Euro Hydroinformatics and Water Management,English,,none,WS,,4 semesters,,
Justus Liebig University Giessen,Master's degree,Heritage Conservation and Site Management,English,,none,WS,,4 semesters,,
Karlsruhe Institute of Technology,Master's degree,Physics,English,,none,"WS, SS",,4 semesters,,
Karlsruhe University of Applied Sciences,Master's degree,Power Engineering,English,,none,WS,,4 semesters,,
Kühne Logistics University,Master's degree,World Heritage Studies,English,,none,WS,,4 semesters,,
Max Planck Institute for Software Systems,Master's degree,Business Administration - Specialisation in International Business Administration,English,,none,WS,,4 semesters,,
Max Planck Institute for Solid State Research,Master's degree,"Business Administration, Specialisation in Entrepreneurship & Social Innovation",English,,none,"WS, SS",,4 semesters,,
Max Planck Institute for the Physics of Complex Systems,Master's degree,Business and Psychology,English,,none,WS,,4 semesters,,
Max Planck Institute of Immunobiology and Epigenetics,Master's degree,Advanced and Computational Mathematics – International Master's and PhD Programme,English,,none,"WS, SS",,4 semesters,,
Max Planck Institute of Microstructure Physics,Master's degree,Advanced Functional Materials,English,,none,"WS, SS",,4 semesters,,
Max Planck Institute of Molecular Physiology,Master's degree,Automotive Software Engineering,English,,none,"WS, SS",,4 semesters,,
Max Planck School of Cognition,Master's degree,Embedded Systems,English,,none,WS,,4 semesters,,
Munich Intellectual Property Law Center,Master's degree,Micro and Nano Systems,English,,none,WS,,4 semesters,,
NIT Northern Institute of Technology Management,Master's degree,Web Engineering,English,,none,WS,,4 semesters,,
Nuertingen-Geislingen University,Master's degree,Mining Engineering (MSc),English,,none,"WS, SS",,4 semesters,,
Osnabrück University of Applied Sciences,Master's degree,Applied Computer Science (MSc),English,,none,"WS, SS",,3 semesters,,
Ostfalia University of Applied Sciences - Hochschule Braunschweig/Wolfenbüttel,Master's degree,Electrical Engineering and Information Technology (MSc),English,,none,"WS, SS",,3 semesters,,
Philipps-Universität Marburg,Master's degree,International Tourism Development (MA),English,,none,SS,,3 semesters,,
Rosenheim Technical University of Applied Sciences,Master's degree,Master of Artificial Intelligence and Data Science,English,,none,"WS, SS",,4 semesters,,
Rostock University of Music and Drama,Master's degree,Master of Healthy and Sustainable Buildings (MEng),English,,none,SS,,4 semesters,,
Ruhr-Universität Bochum,Master's degree,Mechatronic and Cyber-Physical Systems (MEng),English,,none,"WS, SS",,3 semesters,,
RWTH Aachen University,Master's degree,Medical Informatics (MSc),English,,none,WS,,3 semesters,,
SRH Berlin University of Applied Sciences,Master's degree,European Master's in Project Management (EuroMPM),English,,none,WS,,4 semesters,,
SRH University Heidelberg,Master's degree,Master's in Digital Transformation (MDT),English,,none,WS,,4 semesters,,
SRH University of Applied Sciences Hamm,Master's degree,Master's in Embedded Systems for Mechatronics (ESM),English,,none,WS,,4 semesters,,
Universität Heidelberg,Master's degree,Energy and Environmental Management in Developing Countries (MEng),English,,none,WS,,4 semesters,,
University of Applied Management Studies,Master's degree,Master of Arts in European Studies,English,,none,WS,,4 semesters,,
University of Applied Sciences Würzburg-Schweinfurt,Master's degree,Advanced Signal Processing and Communications Engineering MSc,English,,none,WS,,4 semesters,,
University of Applied Sciences Zwickau,Master's degree,Communications and Multimedia Engineering (CME),English,,none,WS,,4 semesters,,
University of Augsburg,Master's degree,"Computational Engineering (CE), MSc",English,,none,WS,,4 semesters,,
University of Bamberg,Master's degree,Data Science,English,,none,WS,,4 semesters,,
University of Education Schwäbisch Gmünd,Master's degree,Information and Communication Technology MSc,English,,none,"WS, SS",,4 semesters,,
University of Greifswald,Master's degree,International Master in Geosciences: Palaeobiology,English,,none,WS,,4 semesters,,
University of Hildesheim Foundation,Master's degree,International Master Physical Activity and Health,English,,none,WS,,4 semesters,,
University of Hohenheim,Master's degree,MA Development Economics and International Studies (DEIS),English,,none,WS,,4 semesters,,
University of Kassel,Master's degree,MA English Studies,English,,none,WS,,4 semesters,,
University of Koblenz-Landau,Master's degree,MA North American Studies: Culture and Literature,English,,none,WS,,4 semesters,,
University of Münster,Master's degree,Master of Science (MSc) in International Business Studies (MIBS),English,,none,WS,,4 semesters,,
University of Rostock,Master's degree,MSc Advanced Materials and Processes (MAP),English,,none,WS,,4 semesters,,
University of Siegen,Master's degree,MSc Advanced Optical Technologies (MAOT),English,,none,WS,,4 semesters,,
University of Tübingen,Master's degree,MSc Chemistry,English,,none,"WS, SS",,4 semesters,,
University of Vechta,Master's degree,MSc Computational and Applied Mathematics (CAM),English,,none,"WS, SS",,4 semesters,,
Weihenstephan-Triesdorf University of Applied Sciences,Master's degree,MSc Integrated Immunology (iImmune),English,,none,WS,,4 semesters,,
"WHU - Otto Beisheim School of Management<a href=""https://howtoabroad.com/whu-otto-beisheim-school-of-management/"" title=""WHU-Otto Beisheim School of Management"" rel=""noopener"" target=""_blank"">WHU-Otto Beisheim School of Management</a>",Master's degree,"MSc Integrated Life Sciences - Biology, Biomathematics, Biophysics",English,,none,WS,,4 semesters,,
"Worms University of Applied Sciences<a href=""https://howtoabroad.com/worms-university-of-applied-sciences/"" title=""Worms University of Applied Sciences"" rel=""noopener"" target=""_blank"">Worms University of Applied Sciences</a>",Master's degree,MSc Molecular Medicine,English,,none,WS,,4 semesters,,
